Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
AG16-P7X9F1BB21,V0,No,"Incassi a soffitto",8435575328273,"Play IP65 Round Fixed",Architectural,,2,9VDC/max.700mA,https://files.ledsc4.com/ft2/it/AG16-P7X9F1BB21.html,"INCASSI A SOFFITTO PLAY IP65 ROUND FIXED LED 6.4W 4000K CRI 92 48.5º CROMO IP65","LedsC4 Play IP65 Round Fixed AG16-P7X9F1BB21  Incassi a soffitto per uso interno ed esterno per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Cromo. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.24 Larghezza o diametro del prodotto (mm): ∅93 Altezza del prodotto (mm): 81 Ø del foro per incasso (mm): 65 Spessore del soffitto ammesso: 0-20  Classe 3. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IP65. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 16.7. Rischio fotobiologico: RG2. Flusso reale (lm): 618. Lm/W reali: 97. Voltaggio: 9. Dispositivo incluso: No, ma gli serve. Potenza totale: 6.4.",9405119090,"Alluminio, Vetro","Cromo, Trasparente",,∅93,81,,,Sì,F,16,"Descatalogado IT",2020,"0,39","6,24","0,24","0,004","0,064",220,110,150,,,,,,,,,,,,,,,,"6,4",,618,4000K,92,FLOOD,,IP65,,https://files.ledsc4.com/main-photo/AG16-P7X9F1BB21,,,,,,https://files.ledsc4.com/imc/AG16-P7X9F1BB21.html,https://files.ledsc4.com/el/AG16-P7X9F1BB21.html,https://files.ledsc4.com/fm/AG16-P7X9F1BB21.html,,,https://files.ledsc4.com/3d/AG16-P7X9F1BB21.html,https://files.ledsc4.com/ies/AG16-P7X9F1BB21.html,https://files.ledsc4.com/ldt/AG16-P7X9F1BB21.html,,,DW-LED-III,,,,"Play IP65 Round Fixed"
AG27-13W9F1BBWR,V0,No,"Incassi a soffitto",8435575336926,"Play Deco Symmetrical Square Fixed",Architectural,,2,"36VDC/ max.350mA",https://files.ledsc4.com/ft2/it/AG27-13W9F1BBWR.html,"INCASSI A SOFFITTO PLAY DECO SYMMETRICAL SQUARE FIXED LED 11.9W 3000K CRI 92 45.","LedsC4 Play Deco Symmetrical Square Fixed AG27-13W9F1BBWR  Incassi a soffitto per uso interno per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco/bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.24 Lunghezza del prodotto (mm): 110 Larghezza o diametro del prodotto (mm): 110 Altezza del prodotto (mm): 112 Ø del foro per incasso (mm): 100 Spessore del soffitto ammesso: 0-25  Classe 3. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 11.9W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 19.0. Rischio fotobiologico: RG1. Flusso reale (lm): 1293. Lm/W reali: 109. Voltaggio: 36. Dispositivo incluso: No, ma gli serve. Potenza totale: 11.9.",9405119090,"Alluminio, PMMA","Bianco/bianco, Trasparente",110,110,112,,,Sì,F,16,"Descatalogado IT",2020,"0,4","6,4","0,24","0,004","0,064",220,110,150,,,,,,,,,,,,,,,,"11,9",,1293,3000K,92,FLOOD,,IP54,,https://files.ledsc4.com/main-photo/AG27-13W9F1BBWR,,,,,,https://files.ledsc4.com/imc/AG27-13W9F1BBWR.html,https://files.ledsc4.com/el/AG27-13W9F1BBWR.html,https://files.ledsc4.com/fm/AG27-13W9F1BBWR.html,,,https://files.ledsc4.com/3d/AG27-13W9F1BBWR.html,https://files.ledsc4.com/ies/AG27-13W9F1BBWR.html,https://files.ledsc4.com/ldt/AG27-13W9F1BBWR.html,,,DW-LED-III,,,,"Play Deco Symmetrical Square Fixed"
AG13-13X9M2BB14,V0,No,"Incassi a soffitto",8435575333468,"Play High Visual Confort Round Fixed",Architectural,,2,"36VDC/ max.350mA",https://files.ledsc4.com/ft2/it/AG13-13X9M2BB14.html,"INCASSI A SOFFITTO PLAY HIGH VISUAL CONFORT ROUND FIXED LED 11.9W 4000K CRI 92 3","LedsC4 Play High Visual Confort Round Fixed AG13-13X9M2BB14  Incassi a soffitto per uso interno per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.22 Larghezza o diametro del prodotto (mm): ∅90 Altezza del prodotto (mm): 127 Ø del foro per incasso (mm): 78 Spessore del soffitto ammesso: 0-25  Classe 3. Prova filo incandescente: 850. IP: IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 11.9W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 18.9. Rischio fotobiologico: RG2. Flusso reale (lm): 1389. Lm/W reali: 117. Voltaggio: 36. Dispositivo incluso: No, ma gli serve. Potenza totale: 11.9.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",,∅90,127,,,Sì,E,16,"Descatalogado IT",2020,"0,38","6,08","0,22","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"11,9",,1389,4000K,92,MEDIUM,,IP54,,https://files.ledsc4.com/main-photo/AG13-13X9M2BB14,,,,,,https://files.ledsc4.com/imc/AG13-13X9M2BB14.html,https://files.ledsc4.com/el/AG13-13X9M2BB14.html,https://files.ledsc4.com/fm/AG13-13X9M2BB14.html,,https://files.ledsc4.com/ft3/it/AG13-13X9M2BB14.html,https://files.ledsc4.com/3d/AG13-13X9M2BB14.html,https://files.ledsc4.com/ies/AG13-13X9M2BB14.html,https://files.ledsc4.com/ldt/AG13-13X9M2BB14.html,,,DW-LED-III,,,,"Play High Visual Comfort Round Fixed"
VE-0006-MAR,V0,No,Ventilatore,8435575368972,"Borneo ø1066mm",Forlight,"205,4",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/VE-0006-MAR.html,"VENTILATORE BORNEO Ø1066MM E27 MARRONE WENGÉ FAGGIO","LedsC4 Borneo ø1066mm VE-0006-MAR  Ventilatore per uso interno per illuminare verso il basso.  Materiale della struttura: Acciaio. Finitura struttura: Marrone. Materiale delle pale: Legno. Finitura pale: Wengé, Faggio. Materiale del diffusore: Vetro. Finitura diffusore: Opal. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 6.12 Larghezza o diametro del prodotto (mm): 1066 Altezza del prodotto (mm): 392  Classe 1. IP: IP20. Dispositivo incluso: Sì. Potenza totale: 30.",8414510090,"Acciaio, Vetro","Marrone, Opal",,1066,392,,,No,"NA EPREL",1,"Discontinuo IT",2020,"7,08","7,08","6,12","0,041","0,041",593,276,248,,,,,,,,,,,,,,,,30,,,,,,,IP20,,https://files.ledsc4.com/main-photo/VE-0006-MAR,,,,,,https://files.ledsc4.com/imc/VE-0006-MAR.html,,,,,,,,,,FX-INC-I,,,,
PX-0529-NEG,V0,Sì,"Lampade da tavolo",8435575348110,Magnet,Forlight,,2,"5VDC 1000mA",https://files.ledsc4.com/ft2/it/PX-0529-NEG.html,"LAMPADE DA TAVOLO IP20 MAGNET LED 1.5W 2700K ON-OFF NERO 180.00","LedsC4 Magnet PX-0529-NEG  Lampade da tavolo per uso interno ed esterno per illuminare lateralmente.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Acciaio, Alluminio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Opal. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.69 Larghezza o diametro del prodotto (mm): 140 Altezza del prodotto (mm): 220 Fuoriuscita del prodotto: 135  Classe 3. IP: IP20. IK: IK02. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 1.5W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 5. Ore di vita: 36.000h L70B30. UGR: 18.2. Rischio fotobiologico: RG0. Flusso reale (lm): 134. Flusso nominale (lm): 180. Lm/W reali: 89. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 1.5. Dispositivo regolabile incluso: ON-OFF.",9405219090,"Acciaio, Alluminio, Policarbonato","Nero, Opal",,140,220,135,"1xLED 1.5 180.00 lm",Sì,F,8,"Descatalogado IT",2020,"1,14","9,12","0,69","0,008","0,064",320,152,145,,,,,,,,,,,,,,,,"1,5","180,00",134,2700K,80,HORIZONTAL,ON-OFF,IP20,IK02,https://files.ledsc4.com/main-photo/PX-0529-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0529-NEG,,,https://files.ledsc4.com/detail-photo/1/PX-0529-NEG,https://files.ledsc4.com/detail-photo/2/PX-0529-NEG,https://files.ledsc4.com/imc/PX-0529-NEG.html,https://files.ledsc4.com/el/PX-0529-NEG.html,https://files.ledsc4.com/fm/PX-0529-NEG.html,,,,https://files.ledsc4.com/ies/PX-0529-NEG.html,https://files.ledsc4.com/ldt/PX-0529-NEG.html,,RETILAP-DECORATIVE,FX-LED-II,,,,
05-E084-14-CM,V0,Sì,"Superficie a parete",8435526810154,"Afrodita Infinite",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-E084-14-CM.html,"SUPERFICIE A PARETE IP66 AFRODITA INFINITE LED 24.8W 4000K 0-10V BIANCO 1388LM","LedsC4 Afrodita Infinite 05-E084-14-CM  Superficie a parete per uso esterno per illuminare verso l&#039;alto e verso il basso  Include 2 uscite per cavi per una facile installazione in catena. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: Vetro. Finitura diffusore: sabbiato. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni. Temperatura max: 50ºC.  Peso netto del prodotto (Kg): 5.87 Larghezza o diametro del prodotto (mm): 1000 Altezza del prodotto (mm): 105 Fuoriuscita del prodotto: 91  Classe 1. Prova filo incandescente: 850. IP: IP66. IK: IK04. LED. Nº di portalampada o Leds: 1. Marchio del driver: INVENTRONICS. Potenza massima della sorgente luminosa: 20.3W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 16.2. Rischio fotobiologico: RG0. % de Flickering: &lt;5%. Flusso reale (lm): 1388. Lm/W reali: 56. Intervallo di tensione / frequenza: 90-305/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 24.8. Fattore di potenza: 0.96. Dispositivo regolabile incluso: 0-10V.",9405119090,"Alluminio, Vetro","Bianco, sabbiato",,1000,105,91,,Sì,E,2,"Descatalogado IT",2021,"6,36","12,72","5,87","0,023","0,046",145,135,1030,,,,,,,,,,,,,,,,"24,8",,1388,4000K,80,"Check Photometric file",0-10V,IP66,IK04,https://files.ledsc4.com/main-photo/05-E084-14-CM,,,,,,https://files.ledsc4.com/imc/05-E084-14-CM.html,https://files.ledsc4.com/el/05-E084-14-CM.html,https://files.ledsc4.com/fm/05-E084-14-CM.html,,https://files.ledsc4.com/ft3/it/05-E084-14-CM.html,https://files.ledsc4.com/3d/05-E084-14-CM.html,https://files.ledsc4.com/ies/05-E084-14-CM.html,https://files.ledsc4.com/ldt/05-E084-14-CM.html,,RETILAP-APLIQUE,FX-LED-I,,,,
05-E106-34-CM,V0,Sì,Proiettori,8435526810093,"Blade Small",Outdoor,,3,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-E106-34-CM.html,"PROIETTORI IP66 BLADE SMALL LED 14.4W 4000K ON-OFF GRIGIO 1170LM","LedsC4 Blade Small 05-E106-34-CM  Proiettori per uso esterno per illuminare verso l&#039;alto.  Metri del cavo incluso: 1.5. Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Grigio. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 3 Anni. Temperatura max: 50ºC.  Peso netto del prodotto (Kg): 1.33 Lunghezza del prodotto (mm): 222 Larghezza o diametro del prodotto (mm): 150 Altezza del prodotto (mm): 41  Classe 1. Prova filo incandescente: 850. IP: IP66. IK: IK10. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: HEP. Potenza massima della sorgente luminosa: 12W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 0.8. Rischio fotobiologico: RG2. Flusso reale (lm): 1170. Lm/W reali: 81. Intervallo di tensione / frequenza: 100-277V/50-60Hz. Voltaggio: 18. Dispositivo incluso: Sì. Potenza totale: 14.4. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405421000,"Alluminio, Vetro","Grigio, Trasparente",222,150,41,,,Sì,E,6,"Descatalogado IT",2021,"1,47","8,82","1,33","0,002","0,012",160,45,260,,,,,,,,,,,,,,,,"14,4",,1170,4000K,80,"Check Photometric file",ON-OFF,IP66,IK10,https://files.ledsc4.com/main-photo/05-E106-34-CM,https://files.ledsc4.com/ambience-photo/1/05-E106-34-CM,,,https://files.ledsc4.com/detail-photo/1/05-E106-34-CM,,https://files.ledsc4.com/imc/05-E106-34-CM.html,https://files.ledsc4.com/el/05-E106-34-CM.html,https://files.ledsc4.com/fm/05-E106-34-CM.html,,https://files.ledsc4.com/ft3/it/05-E106-34-CM.html,https://files.ledsc4.com/3d/05-E106-34-CM.html,https://files.ledsc4.com/ies/05-E106-34-CM.html,https://files.ledsc4.com/ldt/05-E106-34-CM.html,,RETILAP-APLIQUE,FX-LED-I,,,,"Blade Flood Light Small"
05-E107-34-CM,V0,Sì,Proiettori,8435526810086,"Blade Big",Outdoor,,3,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-E107-34-CM.html,"PROIETTORI IP66 BLADE BIG LED 35.8W 4000K DALI GRIGIO 2764LM","LedsC4 Blade Big 05-E107-34-CM  Proiettori per uso esterno per illuminare verso l&#039;alto.  Metri del cavo incluso: 1.5. Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Grigio. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 2.54 Lunghezza del prodotto (mm): 314 Larghezza o diametro del prodotto (mm): 220 Altezza del prodotto (mm): 46  Classe 1. Prova filo incandescente: 850. IP: IP66. IK: IK10. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 31.7W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG1. Flusso reale (lm): 2764. Lm/W reali: 77. Intervallo di tensione / frequenza: 90-305/50-60Hz. Voltaggio: 36. Dispositivo incluso: Sì. Potenza totale: 35.8. Fattore di potenza: 0.95. Dispositivo regolabile incluso: DALI.",9405421000,"Alluminio, Vetro","Grigio, Trasparente",314,220,46,,,Sì,E,4,"Descatalogado IT",2021,"2,74","10,96","2,54","0,006","0,024",230,60,370,,,,,,,,,,,,,,,,"35,8",,2764,4000K,80,"Check Photometric file",DALI,IP66,IK10,https://files.ledsc4.com/main-photo/05-E107-34-CM,https://files.ledsc4.com/ambience-photo/1/05-E107-34-CM,,,https://files.ledsc4.com/detail-photo/1/05-E107-34-CM,,https://files.ledsc4.com/imc/05-E107-34-CM.html,https://files.ledsc4.com/el/05-E107-34-CM.html,https://files.ledsc4.com/fm/05-E107-34-CM.html,,https://files.ledsc4.com/ft3/it/05-E107-34-CM.html,https://files.ledsc4.com/3d/05-E107-34-CM.html,https://files.ledsc4.com/ies/05-E107-34-CM.html,https://files.ledsc4.com/ldt/05-E107-34-CM.html,,RETILAP-APLIQUE,FX-LED-I,,,,"Blade Flood Light Big"
35-A054-60-OS,V0,No,Proiettori,8435629762886,Tak,Architectural,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/35-A054-60-OS.html,"PROIETTORI TAK 32.8W 3000K CRI 92 15.3º ON-OFF NERO 2893LM","LedsC4 Tak 35-A054-60-OS  Proiettori con illuminazione orientabile.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.64 Lunghezza del prodotto (mm): 205 Larghezza o diametro del prodotto (mm): 90 Altezza del prodotto (mm): 160  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CITIZEN. Potenza massima della sorgente luminosa: 31.1W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 19.2. Rischio fotobiologico: RG2. Flusso reale (lm): 2893. Lm/W reali: 88. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 34. Dispositivo incluso: Sì. Potenza totale: 32.8. Fattore di potenza: 0.97. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Nero, Trasparente",205,90,160,,,Sì,E,20,"Descatalogado IT",2021,"0,79","15,8","0,64","0,003","0,06",215,90,152,,,,,,,,,,,,,,,,"32,8",,2893,3000K,92,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/35-A054-60-OS,,,,https://files.ledsc4.com/detail-photo/1/35-A054-60-OS,https://files.ledsc4.com/detail-photo/2/35-A054-60-OS,https://files.ledsc4.com/imc/35-A054-60-OS.html,https://files.ledsc4.com/el/35-A054-60-OS.html,https://files.ledsc4.com/fm/35-A054-60-OS.html,,https://files.ledsc4.com/ft3/it/35-A054-60-OS.html,https://files.ledsc4.com/3d/35-A054-60-OS.html,https://files.ledsc4.com/ies/35-A054-60-OS.html,https://files.ledsc4.com/ldt/35-A054-60-OS.html,,,FX-LED-II,,,,
35-A055-60-OS,V0,No,Proiettori,8435629762909,Tak,Architectural,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/35-A055-60-OS.html,"PROIETTORI TAK 32.8W 3000K CRI 92 26.3º ON-OFF NERO 2849LM","LedsC4 Tak 35-A055-60-OS  Proiettori con illuminazione orientabile.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.64 Lunghezza del prodotto (mm): 205 Larghezza o diametro del prodotto (mm): 90 Altezza del prodotto (mm): 160  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CITIZEN. Potenza massima della sorgente luminosa: 31.1W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 19.5. Rischio fotobiologico: RG2. Flusso reale (lm): 2849. Lm/W reali: 87. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 34. Dispositivo incluso: Sì. Potenza totale: 32.8. Fattore di potenza: 0.97. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Nero, Trasparente",205,90,160,,,Sì,E,20,"Descatalogado IT",2021,"0,79","15,8","0,64","0,003","0,06",170,90,152,,,,,,,,,,,,,,,,"32,8",,2849,3000K,92,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/35-A055-60-OS,,,,https://files.ledsc4.com/detail-photo/1/35-A055-60-OS,https://files.ledsc4.com/detail-photo/2/35-A055-60-OS,https://files.ledsc4.com/imc/35-A055-60-OS.html,https://files.ledsc4.com/el/35-A055-60-OS.html,https://files.ledsc4.com/fm/35-A055-60-OS.html,,https://files.ledsc4.com/ft3/it/35-A055-60-OS.html,https://files.ledsc4.com/3d/35-A055-60-OS.html,https://files.ledsc4.com/ies/35-A055-60-OS.html,https://files.ledsc4.com/ldt/35-A055-60-OS.html,,,FX-LED-II,,,,
PX-0103-ANT,V0,Sì,FarettI,8435575399136,"Kala 800mm",Forlight,"117,25",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0103-ANT.html,"FARETTI IP44 KALA 800MM GU10 8W GRIGIO URBANO","LedsC4 Kala 800mm PX-0103-ANT  FarettI per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Vetro. Finitura diffusore: Semi trasparente. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 2.03 Lunghezza del prodotto (mm): 175 Larghezza o diametro del prodotto (mm): 110 Altezza del prodotto (mm): 800  Classe 1. IP: IP44. Potenza totale: 8.",9405299090,"Alluminio, Vetro","Grigio urbano, Semi trasparente",175,110,800,,,No,"NA EPREL",4,"Discontinuo IT",2021,"2,33","9,32","2,03","0,021","0,084",180,125,815,,,,,,,,,,,,,,,,8,,,,,,,IP44,,https://files.ledsc4.com/main-photo/PX-0103-ANT,,,,https://files.ledsc4.com/detail-photo/1/PX-0103-ANT,https://files.ledsc4.com/detail-photo/2/PX-0103-ANT,https://files.ledsc4.com/imc/PX-0103-ANT.html,,,,,,,,,RETILAP-BALIZA,FX-INC-I,,,,
05-E054-34-37,V0,No,"Superficie a parete",8445386109954,"Afrodita GU10 Single Emission",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/05-E054-34-37.html,"SUPERFICIE A PARETE IP55 AFRODITA GU10 SINGLE EMISSION GU10 8W GRIGIO","LedsC4 Afrodita GU10 Single Emission 05-E054-34-37  Superficie a parete per uso esterno per illuminare verso l&#039;alto e verso il basso  Materiale della struttura: Alluminio. Finitura struttura: Grigio. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.6 Larghezza o diametro del prodotto (mm): 80 Altezza del prodotto (mm): 115 Fuoriuscita del prodotto: 90  Classe 1. IP: IP55. IK: IK04. Dispositivo incluso: No. Potenza totale: 8.",9405199090,"Alluminio, Vetro","Grigio, Trasparente",,80,115,90,,No,"NA EPREL",12,"Descatalogado IT",2022,"0,78","9,36","0,6","0,001","0,012",100,90,130,,,,,,,,,,,,,,,,8,,,,,,,IP55,IK04,https://files.ledsc4.com/main-photo/05-E054-34-37,,,,,,https://files.ledsc4.com/imc/05-E054-34-37.html,,https://files.ledsc4.com/fm/05-E054-34-37.html,,,https://files.ledsc4.com/3d/05-E054-34-37.html,https://files.ledsc4.com/ies/05-E054-34-37.html,https://files.ledsc4.com/ldt/05-E054-34-37.html,,,FX-INC-I,,,,"Afrodita GU10 Wall Fixture Single Emission"
PX-0133-NEG,V0,Sì,"Superficie a parete",8435575398061,Indoo,Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0133-NEG.html,"SUPERFICIE A PARETE IP44 INDOO E27 15W NERO","LedsC4 Indoo PX-0133-NEG  Superficie a parete per illuminare frontalmente.  Materiale della struttura: Policarbonato. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Bianco opalino. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.67 Lunghezza del prodotto (mm): 110 Altezza del prodotto (mm): 295 Fuoriuscita del prodotto: 135  Classe 2. IP: IP44. IK: IK10. Potenza totale: 15.",9405194090,"Policarbonato, Policarbonato","Nero, Bianco opalino",110,,295,135,,No,"NA EPREL",12,"Descatalogado IT",2021,"0,87","10,44","0,67","0,006","0,072",145,120,305,,,,,,,,,,,,,,,,15,,,,,,,IP44,IK10,https://files.ledsc4.com/main-photo/PX-0133-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0133-NEG,,,,,https://files.ledsc4.com/imc/PX-0133-NEG.html,,,,,,,,,RETILAP-APLIQUE,FX-INC-II,,,,
